location_i,longitude,latitude,borough,zone
1,-74.17153349999995,40.689483499999895,EWR,Newark Airport
2,-73.82247803552738,40.61082353463823,Queens,Jamaica Bay
3,-73.84495310749989,40.86574730099992,Bronx,Allerton/Pelham Gardens
4,-73.97772542292921,40.72413692699997,Manhattan,Alphabet City
5,-74.18755828249994,40.550664064999935,Staten Island,Arden Heights
6,-74.07256563877093,40.59904276221754,Staten Island,Arrochar/Fort Wadsworth
7,-73.92030746749995,40.7610828654999,Queens,Astoria
8,-73.92312156108176,40.77862509038407,Queens,Astoria Park
9,-73.78651680849993,40.75434276799989,Queens,Auburndale
10,-73.78898557749989,40.6782561839999,Queens,Baisley Park
11,-74.00751040830949,40.60401449106883,Brooklyn,Bath Beach
12,-74.0157258918405,40.702497062934114,Manhattan,Battery Park
13,-74.01589181962237,40.71153468920309,Manhattan,Battery Park City
14,-74.0285213693821,40.62359275570357,Brooklyn,Bay Ridge
15,-73.78527445765596,40.784888059040995,Queens,Bay Terrace/Fort Totten
16,-73.77471369291123,40.76121553799993,Queens,Bayside
17,-73.95068947349995,40.69177696199988,Brooklyn,Bedford
18,-73.89127428349988,40.86867793799989,Bronx,Bedford Park
19,-73.72861067890517,40.73673660794557,Queens,Bellerose
20,-73.88619042849992,40.85773933999992,Bronx,Belmont
21,-73.9858580212229,40.601994973510216,Brooklyn,Bensonhurst East
22,-73.9950711269999,40.6096815280311,Brooklyn,Bensonhurst West
23,-74.16044164396826,40.607450098919145,Staten Island,Bloomfield/Emerson Hill
24,-73.96552238095356,40.80191568729478,Manhattan,Bloomingdale
25,-73.98647201599982,40.68571924249989,Brooklyn,Boerum Hill
26,-73.99012981799996,40.62860035949991,Brooklyn,Borough Park
27,-73.90170527256132,40.55893992410243,Queens,Breezy Point/Fort Tilden/Riis Beach
28,-73.80832597049988,40.7107408159999,Queens,Briarwood/Jamaica Hills
29,-73.96062421335655,40.582514119365925,Brooklyn,Brighton Beach
30,-73.82479984955917,40.60490930856772,Queens,Broad Channel
31,-73.8761049054999,40.860015707499954,Bronx,Bronx Park
32,-73.86386018649995,40.86438838349993,Bronx,Bronxdale
33,-73.99602169307268,40.69625694246597,Brooklyn,Brooklyn Heights
34,-73.97231938410377,40.70250752257607,Brooklyn,Brooklyn Navy Yard
35,-73.91259334499993,40.66380131049988,Brooklyn,Brownsville
36,-73.9175758074999,40.69897118749988,Brooklyn,Bushwick North
37,-73.92042706849989,40.69629654699988,Brooklyn,Bushwick South
38,-73.73676400060572,40.693361363486915,Queens,Cambria Heights
39,-73.89854748942138,40.638860892692335,Brooklyn,Canarsie
40,-73.99525822599992,40.6785420594999,Brooklyn,Carroll Gardens
41,-73.95070912799989,40.804176356499916,Manhattan,Central Harlem
42,-73.94296557610663,40.82096513630885,Manhattan,Central Harlem North
43,-73.96543425149989,40.78243070999989,Manhattan,Central Park
44,-74.230643707576,40.52731570058512,Staten Island,Charleston/Tottenville
45,-73.99883418899992,40.712982235837806,Manhattan,Chinatown
46,-73.77942003413594,40.847487305955916,Bronx,City Island
47,-73.90038283149993,40.84531677249991,Bronx,Claremont/Bathgate
48,-73.98983608299999,40.76224880249994,Manhattan,Clinton East
49,-73.96170670799994,40.68876461499987,Brooklyn,Clinton Hill
50,-73.99591012309416,40.76656845547106,Manhattan,Clinton West
51,-73.82951438949993,40.87343570699992,Bronx,Co-Op City
52,-73.9965055249999,40.686459061499946,Brooklyn,Cobble Hill
53,-73.84718616016457,40.78198428688526,Queens,College Point
54,-74.00497260507314,40.68685015153733,Brooklyn,Columbia Street
55,-73.98621165112738,40.57708729324328,Brooklyn,Coney Island
56,-73.85334967649996,40.75198053449989,Queens,Corona
58,-73.8189705241183,40.84149471389722,Bronx,Country Club
59,-73.8939116864999,40.83893493049991,Bronx,Crotona Park
60,-73.88497212849981,40.831335786999915,Bronx,Crotona Park East
61,-73.94241452649987,40.673965946499905,Brooklyn,Crown Heights North
62,-73.94563594699994,40.6672795414999,Brooklyn,Crown Heights South
63,-73.88255467399989,40.6846913414999,Brooklyn,Cypress Hills
64,-73.73636758993017,40.76066709841694,Queens,Douglaston
65,-73.98530032749991,40.6953503109999,Brooklyn,Downtown Brooklyn/MetroTech
66,-73.98724996985288,40.70170322259689,Brooklyn,DUMBO/Vinegar Hill
67,-74.01239182199993,40.61841493099994,Brooklyn,Dyker Heights
68,-73.99991836599992,40.74843157549989,Manhattan,East Chelsea
69,-73.9161658404999,40.83060752849991,Bronx,East Concourse/Concourse Village
70,-73.86544192849993,40.764200896999895,Queens,East Elmhurst
71,-73.93707866399994,40.644187693999925,Brooklyn,East Flatbush/Farragut
72,-73.92023267199991,40.65265499899992,Brooklyn,East Flatbush/Remsen Village
73,-73.80771327899998,40.75377780049991,Queens,East Flushing
74,-73.93741040191821,40.80561276899989,Manhattan,East Harlem North
75,-73.94541517951379,40.79047907499991,Manhattan,East Harlem South
76,-73.8825665379999,40.65881960439934,Brooklyn,East New York
77,-73.89266489799996,40.66714987599991,Brooklyn,East New York/Pennsylvania Avenue
78,-73.88201852999991,40.846066419999936,Bronx,East Tremont
79,-73.9853151009999,40.72795383099989,Manhattan,East Village
80,-73.93711495949984,40.714449946007775,Brooklyn,East Williamsburg
81,-73.82332145712245,40.877408383652124,Bronx,Eastchester
82,-73.8781106749999,40.7384749244999,Queens,Elmhurst
83,-73.89388576349998,40.74015635699989,Queens,Elmhurst/Maspeth
84,-74.19044206599993,40.532010680610426,Staten Island,Eltingville/Annadale/Prince's Bay
